id;description;repair_status;date_completed;car_id;employee_id;inspection_id
1;carelessly condone dividend;DOING;2023-12-07;1;1;1
2;duh knowingly joshingly;CANCELLED;2023-12-07;2;2;2
3;concerning;PLANNED;2023-12-07;3;3;3
4;politely indelible;DONE;2023-12-07;4;4;4
5;excluding embarrassed kilt;DOING;2023-12-07;;;
6;on awkwardly qua;CANCELLED;2023-12-06;;;
7;secretary;DONE;2023-12-06;;;
8;supersized;PLANNED;2023-12-06;;;
9;reproachfully gruesome;DOING;2023-12-07;;;
10;applewood exalted;CANCELLED;2023-12-07;;;
11;applewood reuined;PLANNED;2023-12-07;;;
